3	Accaries	M	eu
9	Accart	M	eu
7	Accary	M	eu
3	Accault	M	eu
5	Acchiardi	M	eu
3	Acciari	M	eu
4	Accipe	M	eu
7	Accolas	M	eu
3	Accorsi	M	eu
3	Accursi	M	eu
5	Acebron	M	eu
5	Aced	M	eu
6	Acedo	M	eu
3	Acer	M	eu
3	Acerbis	M	eu
3	Acero	M	eu
3	Aceval	M	eu
4	Achab	M	eu
3	Achacha	F	eu
12	Achache	F	eu
3	Achahbar	M	eu
3	Achahboun	M	eu
5	Achaintre	F	eu
96	Achard	M	eu
4	Achard de Leluardière	F	eu
4	Acharki	M	eu
4	Achart	M	eu
3	Achat	M	eu
4	Achaume	M	eu
3	Achbani	M	eu
4	Achbar	M	eu
7	Ache	F	eu
3	Achenza	F	eu
11	Acher	M	eu
4	Achère	F	eu
5	Achi	M	eu
4	Achik	M	eu
8	Achille	M	eu
6	Achilli	M	eu
7	Achim	M	eu
3	Achino	M	eu
4	Achir	M	eu
5	Achkar	M	eu
5	Achouche	F	eu
3	Achoui	M	eu
34	Achour	M	eu
12	Achouri	M	ar
5	Achte	F	eu
6	Acikgoz	M	eu
8	Acin	M	eu
4	Acina	F	eu
22	Acker	M	eu
31	Ackermann	M	eu
3	Acket	M	eu
4	Ackland	M	eu
3	Acloque	F	eu
5	Acoca	F	eu
11	Acosta	F	eu
3	Acoulon	M	eu
7	Acquart	M	eu
25	Acquaviva	F	eu
5	Acquette	F	eu
12	Acquier	M	eu
3	Acquisto	M	eu
3	Acroute	F	eu
3	Acs	M	eu
4	Ada	F	eu
5	Adafer	M	eu
3	Adahchour	M	eu
3	Adala	F	eu
406	Adam	M	eu
4	Adam de Villiers	M	eu
3	Adamczak	M	eu
7	Adamczyk	M	eu
14	Adami	M	eu
3	Adamiak	M	eu
6	Adamis	M	eu
3	Adamkiewicz	M	eu
12	Adamo	M	eu
3	Adamovitch	M	eu
3	Adamowski	M	eu
29	Adams	M	eu
9	Adamski	M	eu
4	Adamy	M	eu
4	Adane	F	eu
3	Adani	M	eu
4	Adant	M	eu
3	Adardour	M	eu
5	Adary	M	eu
3	Adawi	M	eu
4	Adawousso	M	eu
19	Adda	F	eu
8	Addad	M	eu
4	Addala	F	eu
3	Addalou	M	eu
7	Addario	M	eu
8	Adde	F	eu
4	Addi	M	eu
14	Addou	M	eu
3	Addouche	F	eu
5	Ade	F	eu
40	Adel	M	eu
31	Adelaïde	F	eu
34	Adèle	F	eu
21	Adeline	F	eu
3	Adelino	M	eu
6	Adell	M	eu
12	Adelle	F	eu
4	Adelles	M	eu
4	Adelon	M	eu
4	Adelus	M	eu
3	Aden	M	eu
3	Adenin	M	eu
11	Adenis	M	eu
14	Adenot	M	eu
27	Ader	M	eu
10	Ades	M	eu
7	Adet	M	eu
3	Adeux	F	eu
6	Adge	M	eu
5	Adhoum	M	eu
3	Adi	M	eu
5	Adiasse	F	eu
4	Adib	M	eu
6	Adida	F	eu
3	Adiletto	M	eu
6	Adin	M	eu
7	Adinani	M	eu
3	Adine	F	eu
8	Adjadj	M	eu
7	Adjal	M	eu
3	Adjanor	M	eu
14	Adjaoud	M	eu
3	Adjayi	M	eu
5	Adje	F	eu
5	Adjedj	M	eu
4	Adjei	M	eu
5	Adjemian	M	eu
3	Adjim	M	eu
3	Adjiman	M	eu
3	Adjimi	M	eu
3	Adjobi	M	eu
4	Adjovi	M	eu
28	Adler	M	eu
3	Adli	M	eu
3	Adloff	M	eu
3	Admi	M	eu
4	Admirat	M	eu
3	Adnane	F	eu
3	Adnani	M	eu
18	Adnet	M	eu
3	Adnin	M	eu
30	Adnot	M	eu
4	Ado	M	eu
5	Adobati	M	eu
10	Adolf	M	eu
11	Adolph	M	eu
73	Adolphe	M	eu
3	Adolphe Venerosy	F	eu
5	Adon	M	eu
4	Adonai	M	eu
6	Adonis	M	eu
4	Adou	M	eu
6	Adouane	F	eu
3	Adouani	M	eu
11	Adoue	M	eu
3	Adoui	M	eu
3	Adoul	M	eu
3	Adoum	M	eu
8	Adragna	F	eu
4	Adrai	M	eu
3	Adrar	M	eu
3	Adrea	F	eu
3	Adreani	M	eu
3	Adreit	M	eu
4	Adriaens	M	eu
7	Adriaenssens	M	eu
22	Adrian	M	eu
3	Adriano	M	eu
12	Adriansen	M	eu
22	Adrien	M	eu
4	Adris	M	eu
4	Adrover	M	eu
4	Adry	M	eu
5	Adsuar	M	eu
4	Adu	M	eu
3	Aebischer	M	eu
3	Aeby	F	eu
3	Aeck	M	eu
8	Aelters	M	eu
5	Aernout	M	eu
3	Aernouts	M	eu
14	Aerts	M	eu
3	Afarian	M	eu
3	Afassi	M	eu
4	Afchain	M	eu
3	Afella	F	eu
4	Affagard	M	eu
4	Affari	M	eu
6	Affergan	M	eu
3	Affholder	M	eu
5	Affile	F	eu
5	Affolter	M	eu
5	Affortit	M	eu
15	Affre	F	eu
3	Affre de Saint Rome	M	eu
6	Afif	M	eu
3	Afife	F	eu
4	Afir	M	eu
12	Afkir	M	eu
6	Aflalo	M	eu
52	Afonso	M	eu
3	Afou	M	eu
4	Afoy	F	eu
5	Afriat	M	eu
4	Aga	F	eu
4	Agache	F	eu
3	Agaesse	F	eu
3	Agape	M	eu
4	Agar	M	eu
3	Agarande	F	eu
11	Agard	M	eu
11	Agasse	F	eu
4	Agat	M	eu
3	Agathe	F	eu
7	Agati	M	eu
3	Agator	M	eu
4	Agazzi	M	eu
4	Agbo	M	eu
3	Agboton	M	eu
7	Ageneau	M	eu
11	Ageorges	M	eu
19	Ageron	M	eu
3	Agert	M	eu
7	Agesilas	M	eu
5	Agest	M	eu
9	Agez	M	eu
7	Aggoun	M	eu
10	Aggoune	F	eu
4	Agid	M	eu
19	Agier	M	eu
8	Agin	M	eu
7	Agisson	M	eu
13	Agius	M	eu
3	Aglas	M	eu
3	Agnans	M	eu
5	Agne	F	eu
12	Agnel	M	eu
9	Agnellet	M	eu
5	Agnelli	M	eu
9	Agnello	M	eu
6	Agneray	F	eu
20	Agnès	M	eu
3	Agnèse	F	eu
3	Agnetti	M	eu
19	Agniel	M	eu
3	Agnola	F	eu
3	Agnoletti	M	eu
3	Agnoletto	M	eu
3	Agnona	F	eu
3	Agnoux	F	eu
3	Agnus	M	eu
3	Agodor	M	eu
10	Agogue	M	eu
3	Agoni	M	eu
7	Agopian	M	eu
8	Agossou	M	eu
